time,place,mag,type,geometry
1697156656603,"3 km N of Mabini, Philippines",5.2,earthquake,"{'type': 'Point', 'coordinates': [120.9418, 13.7842, 10]}"
1697155394885,"Hindu Kush region, Afghanistan",4.9,earthquake,"{'type': 'Point', 'coordinates': [68.715, 36.0508, 10]}"
1697151283582,"86 km SE of Lata, Solomon Islands",4.6,earthquake,"{'type': 'Point', 'coordinates': [166.2948, -11.3364, 98.709]}"
1697150020483,"121 km SSE of Kuril’sk, Russia",5.1,earthquake,"{'type': 'Point', 'coordinates': [148.5026, 44.2272, 48.656]}"
1697147199844,Banda Sea,4.4,earthquake,"{'type': 'Point', 'coordinates': [128.9516, -6.6348, 219.181]}"
1697144664805,"44 km WNW of Turt, Mongolia",4.1,earthquake,"{'type': 'Point', 'coordinates': [100.0929, 51.693, 10]}"
1697140840715,"13 km NNE of La Libertad, Honduras",4.6,earthquake,"{'type': 'Point', 'coordinates': [-87.5663, 14.8766, 10]}"
1697118017984,"72 km ESE of Wainui, New Zealand",4.7,earthquake,"{'type': 'Point', 'coordinates': [178.7966, -39.0082, 10]}"
1697108645956,"18 km SSE of Erciş, Turkey",4.5,earthquake,"{'type': 'Point', 'coordinates': [43.4399, 38.8742, 10]}"
1697106897612,"Bougainville region, Papua New Guinea",5.1,earthquake,"{'type': 'Point', 'coordinates': [155.2296, -6.7721, 48.957]}"
1697103000747,"Sumba region, Indonesia",4.9,earthquake,"{'type': 'Point', 'coordinates': [119.915, -10.24, 27.646]}"
1697100879419,"47 km S of Murghob, Tajikistan",4.6,earthquake,"{'type': 'Point', 'coordinates': [74.0347, 37.7446, 10]}"
1697100370363,,4.7,earthquake,"{'type': 'Point', 'coordinates': [-82.6372, 6.9735, 10]}"
1697097078712,"150 km E of Kokopo, Papua New Guinea",4.5,earthquake,"{'type': 'Point', 'coordinates': [153.621, -4.3999, 109.234]}"
1697093721745,"134 km E of Taltal, Chile",4.2,earthquake,"{'type': 'Point', 'coordinates': [-69.1537, -25.3141, 122.529]}"
1697091521103,"175 km NE of Tual, Indonesia",5.2,earthquake,"{'type': 'Point', 'coordinates': [133.9424, -4.5769, 7.334]}"
1697090691576,"Araucania-Los Lagos border region, Chile",4.7,earthquake,"{'type': 'Point', 'coordinates': [-72.1358, -39.4968, 81.908]}"
1697086821170,"216 km E of Levuka, Fiji",4.9,earthquake,"{'type': 'Point', 'coordinates': [-178.655, -17.8008, 561.575]}"
1697084411880,"22 km SSE of Boca de Yuma, Dominican Republic",3.68,earthquake,"{'type': 'Point', 'coordinates': [-68.5528, 18.1818, 54]}"
1697084143642,"103 km ESE of Mil’kovo, Russia",4.2,earthquake,"{'type': 'Point', 'coordinates': [160.1794, 54.4949, 112.794]}"
1697081431199,Kermadec Islands region,4.8,earthquake,"{'type': 'Point', 'coordinates': [-176.2373, -29.3289, 10]}"
1697080659234,,4.4,earthquake,"{'type': 'Point', 'coordinates': [-171.2676, 52.8249, 113.189]}"
1697078472874,"162 km W of Nikolski, Alaska",5.6,earthquake,"{'type': 'Point', 'coordinates': [-171.2632, 52.7916, 118.401]}"
1697067840837,"Izu Islands, Japan region",4.1,earthquake,"{'type': 'Point', 'coordinates': [138.8555, 29.8058, 452.494]}"
1697065331479,"83 km NW of Phôngsali, Laos",4.4,earthquake,"{'type': 'Point', 'coordinates': [101.5687, 22.2515, 10]}"
1697063593547,,4.6,earthquake,"{'type': 'Point', 'coordinates': [128.6949, 28.792, 137.196]}"
1697054697368,,6.3,earthquake,"{'type': 'Point', 'coordinates': [139.5902, -52.0599, 4.79]}"
1697049442045,"41 km NNE of Dipayal, Nepal",4.8,earthquake,"{'type': 'Point', 'coordinates': [81.1553, 29.5876, 10]}"
1697042381979,south of the Fiji Islands,4.3,earthquake,"{'type': 'Point', 'coordinates': [179.789, -24.9266, 511.03]}"
1697041426186,east of the South Sandwich Islands,4.9,earthquake,"{'type': 'Point', 'coordinates': [-15.7494, -58.2868, 10]}"
1697032421542,,4.2,earthquake,"{'type': 'Point', 'coordinates': [-166.7974, 53.1342, 22.5]}"
1697020773043,"77 km WSW of Masachapa, Nicaragua",4.2,earthquake,"{'type': 'Point', 'coordinates': [-87.1678, 11.511, 42.762]}"
1697020616685,"78 km SE of Lugu, Taiwan",5.2,earthquake,"{'type': 'Point', 'coordinates': [121.2992, 23.252, 17.479]}"
1697020132095,"off the coast of Jalisco, Mexico",4.2,earthquake,"{'type': 'Point', 'coordinates': [-105.9386, 18.0038, 10]}"
1697003964041,"38 km NNW of Herāt, Afghanistan",4.5,earthquake,"{'type': 'Point', 'coordinates': [62.0641, 34.6763, 10]}"
1697002190626,"9 km NNE of Camiña, Chile",4.9,earthquake,"{'type': 'Point', 'coordinates': [-69.3973, -19.2331, 109.747]}"
1696999026397,"88 km SSE of Pangai, Tonga",5.1,earthquake,"{'type': 'Point', 'coordinates': [-173.9981, -20.5357, 10]}"
